name,lat,lon,postal_code,street,block
Ulu Pandan CC,1.3120094094936154,103.78921118600064,279621,Ghim Moh Road,170
Punggol 21 CC,1.3936062415995636,103.91346411312499,828815,Punggol Field,80
Punggol CC,1.374378821482798,103.89181532840827,538808,Hougang Avenue 6,3
Punggol West CC,1.4045159006848433,103.89566486383038,823259,Punggol Field,259C
Queenstown CC,1.299150227970495,103.80130510766038,149732,Commonwealth Avenue,365
Telok Blangah CC,1.2748626566373564,103.80787543560866,108943,Telok Blangah Street 31,450
The Serangoon CC,1.3700548624028297,103.873927617452,555877,Serangoon North Avenue 2,10
Tiong Bahru CC,1.2834525171488171,103.83188271457482,169715,Eu Chin Street,67A
Toa Payoh Central CC,1.3349345170945592,103.85020454592244,319194,Toa Payoh Central,93
Toa Payoh East CC,1.336274892063962,103.85470024902969,319380,Lorong 6 Toa Payoh,160
Toa Payoh South CC,1.3348903704664343,103.85937897981313,319258,Lorong 8 Toa Payoh,1999
Yew Tee CC,1.3949175844705166,103.74472785336711,689286,Choa Chu Kang Street 52,20
PAssion WaVe @ Bedok Reservoir (Sea Sports Club),1.3413981466668703,103.93274134203767,479311,Bedok Reservoir Road,911
PAssion WaVe @ East Coast (Sea Sports Club),1.3117279914425672,103.95222299303326,468961,East Coast Parkway,1390
PAssion WaVe @ Jurong Lake Gardens (Sea Sports Club),1.3393595538818395,103.72729947121485,618662,Yuan Ching Road,100
