school_name,address,postal_code,lat,lon,mainlevel_code,type_code,zone_code,dgp_code,sap_ind,autonomous_ind,gifted_ind
JURONG SECONDARY SCHOOL,31 YUAN CHING ROAD   ,618652,1.33002032220942,103.723952961648,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,JURONG WEST,No,No,No
JURONG WEST PRIMARY SCHOOL,30 JURONG WEST ST 61   ,648368,1.33917519796104,103.698803732244,PRIMARY,GOVERNMENT SCHOOL,WEST,JURONG WEST,No,No,No
JURONG WEST SECONDARY SCHOOL,61 JURONG WEST STREET 65   ,648348,1.33525634688323,103.702098904443,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,JURONG WEST,No,No,No
JURONGVILLE SECONDARY SCHOOL,202 JURONG EAST AVENUE 1   ,609790,1.35128862770284,103.728907710089,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,JURONG EAST,No,No,No
JUYING SECONDARY SCHOOL,33 JURONG WEST STREET 91   ,649038,1.3387227734133,103.687310264575,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,JURONG WEST,No,No,No
KEMING PRIMARY SCHOOL,90 BUKIT BATOK EAST AVENUE 6   ,659762,1.34552849960874,103.756449399351,PRIMARY,GOVERNMENT SCHOOL,WEST,BUKIT BATOK,No,No,No
KENT RIDGE SECONDARY SCHOOL,147 WEST COAST ROAD   ,127368,1.30122773426098,103.764889617566,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CLEMENTI,No,No,No
KHENG CHENG SCHOOL,15 LORONG 3 TOA PAYOH   ,319580,1.3373381935639,103.847148501824,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,TOA PAYOH,No,No,No
KONG HWA SCHOOL,350 GUILLEMARD ROAD   ,399772,1.31099674009193,103.888352029067,PRIMARY,GOVERNMENT-AIDED SCH,EAST,GEYLANG,Yes,No,No
KRANJI PRIMARY SCHOOL,11 CHOA CHU KANG STREET 54   ,689189,1.39356050497104,103.747362720939,PRIMARY,GOVERNMENT SCHOOL,WEST,CHOA CHU KANG,No,No,No
KRANJI SECONDARY SCHOOL,61 CHOA CHU KANG STREET 51   ,689333,1.39005109871311,103.741190664845,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CHOA CHU KANG,No,No,No
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,8 BISHAN STREET 13   ,579793,1.34939813669536,103.855018233311,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,BISHAN,No,No,No
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,10 BISHAN STREET 13   ,579795,1.35017129930314,103.854983746416,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,SOUTH,BISHAN,No,No,No
LAKESIDE PRIMARY SCHOOL,161 Corporation Walk   ,618310,1.33820397704287,103.718089546664,PRIMARY,GOVERNMENT SCHOOL,WEST,JURONG WEST,No,No,No
LIANHUA PRIMARY SCHOOL,2 BUKIT BATOK STREET 52   ,659243,1.35424191127295,103.754165828711,PRIMARY,GOVERNMENT SCHOOL,WEST,BUKIT BATOK,No,No,No
LOYANG VIEW SECONDARY SCHOOL,12 PASIR RIS STREET 11   ,519073,1.36658417167238,103.956944585725,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,PASIR RIS,No,No,No
MAHA BODHI SCHOOL,10 UBI AVENUE 1   ,408931,1.32847086658384,103.901298737314,PRIMARY,GOVERNMENT-AIDED SCH,EAST,GEYLANG,Yes,No,No
MANJUSRI SECONDARY SCHOOL,20 UBI AVENUE 1   ,408940,1.32747123084846,103.901719963831,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,EAST,GEYLANG,No,No,No
MARIS STELLA HIGH SCHOOL,25 MOUNT VERNON ROAD   ,368051,1.34139473323668,103.877852484435,MIXED LEVEL (P1-S4),GOVERNMENT-AIDED SCH,NORTH,TOA PAYOH,Yes,Yes,No
MARSILING PRIMARY SCHOOL,31 WOODLANDS CENTRE ROAD   ,738927,1.43383904037059,103.773643013846,PRIMARY,GOVERNMENT SCHOOL,NORTH,WOODLANDS,No,No,No
MARSILING SECONDARY SCHOOL,12 MARSILING ROAD   ,739110,1.43664424769955,103.776008090454,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,WOODLANDS,No,No,No
MARYMOUNT CONVENT SCHOOL,20 Marymount Road   ,297754,1.34036676987375,103.840021064426,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,TOA PAYOH,No,No,No
MAYFLOWER PRIMARY SCHOOL,200 Ang Mo Kio Avenue 5   ,569878,1.37637683547682,103.843252803742,PRIMARY,GOVERNMENT SCHOOL,SOUTH,ANG MO KIO,No,No,No
MAYFLOWER SECONDARY SCHOOL,2 ANG MO KIO STREET 21   ,569384,1.36827266209722,103.835360726863,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,ANG MO KIO,No,No,No
MEE TOH SCHOOL,21 EDGEDALE PLAINS   ,828867,1.3946184538592,103.908589494228,PRIMARY,GOVERNMENT-AIDED SCH,NORTH,PUNGGOL,No,No,No
MERIDIAN PRIMARY SCHOOL,20 PASIR RIS ST 71   ,518798,1.37552831658484,103.934889078518,PRIMARY,GOVERNMENT SCHOOL,EAST,PASIR RIS,No,No,No
MERIDIAN SECONDARY SCHOOL,31 PASIR RIS STREET 51   ,518901,1.3672468492013,103.948972483629,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,PASIR RIS,No,No,No
METHODIST GIRLS' SCHOOL (PRIMARY),11 Blackmore Drive   ,599986,1.33294800935714,103.783393009829,PRIMARY,GOVERNMENT-AIDED SCH,WEST,BUKIT TIMAH,No,No,No
METHODIST GIRLS' SCHOOL (SECONDARY),11 BLACKMORE DRIVE   ,599986,1.33294800935714,103.783393009829,SECONDARY (S1-S4),INDEPENDENT SCHOOL,WEST,BUKIT TIMAH,No,No,No
MILLENNIA INSTITUTE,60 Bukit Batok West Avenue 8   ,658965,1.35031939200985,103.741593577684,CENTRALISED INSTITUTE,GOVERNMENT SCHOOL,WEST,BUKIT BATOK,No,No,No
MONTFORT JUNIOR SCHOOL,52 HOUGANG AVENUE 8   ,538786,1.37382444075979,103.889307782925,PRIMARY,GOVERNMENT-AIDED SCH,NORTH,HOUGANG,No,No,No
MONTFORT SECONDARY SCHOOL,50 HOUGANG AVENUE 8   ,538785,1.37396131656912,103.888928372577,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,NORTH,HOUGANG,No,No,No
NAN CHIAU HIGH SCHOOL,20 ANCHORVALE LINK   ,545079,1.38879582498399,103.890004423764,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,NORTH,SENG KANG,Yes,No,No
NAN CHIAU PRIMARY SCHOOL,50 ANCHORVALE LINK   ,545080,1.39221149906592,103.891180928186,PRIMARY,GOVERNMENT-AIDED SCH,NORTH,SENG KANG,No,No,No
NAN HUA HIGH SCHOOL,41 CLEMENTI AVENUE 1   ,129956,1.30809529518605,103.768561446725,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CLEMENTI,Yes,Yes,No
NAN HUA PRIMARY SCHOOL,30 Jalan Lempeng   ,128806,1.31920159956387,103.761095065761,PRIMARY,GOVERNMENT-AIDED SCH,WEST,CLEMENTI,Yes,No,Yes
NANYANG GIRLS' HIGH SCHOOL,2 LINDEN DRIVE   ,288683,1.33058326666479,103.802420979943,SECONDARY (S1-S4),INDEPENDENT SCHOOL,WEST,BUKIT TIMAH,Yes,No,Yes
NANYANG JUNIOR COLLEGE,128 SERANGOON AVENUE 3   ,556111,1.35028314949236,103.866498721912,JUNIOR COLLEGE,GOVERNMENT-AIDED SCH,SOUTH,SERANGOON,No,No,No
NANYANG PRIMARY SCHOOL,52 KING'S ROAD   ,268097,1.32084749904532,103.807750155296,PRIMARY,GOVERNMENT-AIDED SCH,WEST,BUKIT TIMAH,Yes,No,Yes
NATIONAL JUNIOR COLLEGE,37 HILLCREST ROAD   ,288913,1.33029291072172,103.804110905425,MIXED LEVEL (S1-JC2),GOVERNMENT SCHOOL,SOUTH,BUKIT TIMAH,No,No,No
NAVAL BASE PRIMARY SCHOOL,7 YISHUN AVE 4   ,769028,1.41630663159387,103.838794077233,PRIMARY,GOVERNMENT SCHOOL,NORTH,YISHUN,No,No,No
NAVAL BASE SECONDARY SCHOOL,901 YISHUN RING ROAD   ,768689,1.41937881620441,103.831050390247,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,YISHUN,No,No,No
NEW TOWN PRIMARY SCHOOL,300 Tanglin Halt Road   ,148812,1.29964188181021,103.80010216304,PRIMARY,GOVERNMENT SCHOOL,SOUTH,QUEENSTOWN,No,No,No
NEW TOWN SECONDARY SCHOOL,1020 DOVER ROAD   ,139657,1.30977590011357,103.77318863421,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,QUEENSTOWN,No,No,No
NGEE ANN PRIMARY SCHOOL,344 MARINE TERRACE   ,449149,1.30552505910497,103.917463017497,PRIMARY,GOVERNMENT-AIDED SCH,EAST,MARINE PARADE,No,No,No
NGEE ANN SECONDARY SCHOOL,1 TAMPINES STREET 32   ,529283,1.35447525755806,103.956747262496,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,EAST,TAMPINES,No,Yes,No
NORTH SPRING PRIMARY SCHOOL,1 RIVERVALE STREET   ,545088,1.38706146494859,103.903202683028,PRIMARY,GOVERNMENT SCHOOL,NORTH,SENG KANG,No,No,No
NORTH VIEW PRIMARY SCHOOL,210 YISHUN AVENUE 6   ,768960,1.42752327193727,103.848190787869,PRIMARY,GOVERNMENT SCHOOL,NORTH,YISHUN,No,No,No
NORTH VISTA PRIMARY SCHOOL,20 Compassvale Link   ,544974,1.38282243016299,103.895961877928,PRIMARY,GOVERNMENT SCHOOL,NORTH,SENG KANG,No,No,No
NORTH VISTA SECONDARY SCHOOL,11 RIVERVALE LINK   ,545081,1.381131285358,103.899188813886,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,SENG KANG,No,No,No
NORTHBROOKS SECONDARY SCHOOL,585 YISHUN RING ROAD   ,768692,1.42081285020652,103.845147332528,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,YISHUN,No,No,No
NORTHLAND PRIMARY SCHOOL,15 YISHUN AVENUE 4   ,769026,1.42096989918951,103.840928424929,PRIMARY,GOVERNMENT SCHOOL,NORTH,YISHUN,No,No,No
NORTHLAND SECONDARY SCHOOL,3 YISHUN STREET 22   ,768578,1.43580183362637,103.840104687784,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,YISHUN,No,No,No
NORTHLIGHT SCHOOL,151 Towner Road   ,327830,1.3191002158167,103.85575955353,SECONDARY (S1-S4),SPECIALISED INDEPENDENT SCHOOL,SOUTH,KALLANG,No,No,No
NORTHOAKS PRIMARY SCHOOL,61 Sembawang Drive   ,757622,1.45660782030102,103.814196981329,PRIMARY,GOVERNMENT SCHOOL,NORTH,SEMBAWANG,No,No,No
NORTHSHORE PRIMARY SCHOOL,30 Northshore Drive   ,828671,1.41813803336667,103.904416909742,PRIMARY,GOVERNMENT SCHOOL,EAST,PUNGGOL,No,No,No
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,20 Clementi Avenue 1   ,129957,1.30600678096247,103.770152807737,MIXED LEVEL (S1-JC2),SPECIALISED SCHOOL,WEST,CLEMENTI,No,No,Yes
OASIS PRIMARY SCHOOL,71 Edgefield Plains   ,828716,1.40462413200793,103.911120600638,PRIMARY,GOVERNMENT SCHOOL,EAST,PUNGGOL,No,No,No
OPERA ESTATE PRIMARY SCHOOL,48 FIDELIO STREET   ,458436,1.31931914436255,103.923788259248,PRIMARY,GOVERNMENT SCHOOL,EAST,BEDOK,No,No,No
ORCHID PARK SECONDARY SCHOOL,10 YISHUN STREET 81   ,768454,1.41532032779634,103.837859241343,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,YISHUN,No,No,No
OUTRAM SECONDARY SCHOOL,48 Anchorvale Crescent   ,549936,1.39775020428346,103.891230426312,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,SENG KANG,No,No,No
PALM VIEW PRIMARY SCHOOL,150 Compassvale Bow   ,544822,1.38376923022123,103.891354675017,PRIMARY,GOVERNMENT SCHOOL,NORTH,SENG KANG,No,No,No
PARK VIEW PRIMARY SCHOOL,60 PASIR RIS DRIVE 1   ,519524,1.37738069854249,103.939541695654,PRIMARY,GOVERNMENT SCHOOL,EAST,PASIR RIS,No,No,No
PASIR RIS CREST SECONDARY SCHOOL,11 PASIR RIS STREET 41   ,518934,1.37284060102246,103.959728202919,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,PASIR RIS,No,No,No
PASIR RIS PRIMARY SCHOOL,5 PASIR RIS STREET 21   ,518968,1.37241870245531,103.962807212116,PRIMARY,GOVERNMENT SCHOOL,EAST,PASIR RIS,No,No,No
PASIR RIS SECONDARY SCHOOL,390 TAMPINES STREET 21   ,529400,1.35422732653396,103.948962626204,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,TAMPINES,No,No,No
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298 LORONG AH SOO   ,536741,1.34947276268396,103.884971343143,PRIMARY,GOVERNMENT-AIDED SCH,EAST,HOUGANG,No,No,No
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296 LOR AH SOO   ,536742,1.35096755912522,103.885120050588,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,EAST,HOUGANG,No,Yes,No
PEI CHUN PUBLIC SCHOOL,16 LORONG 7 TOA PAYOH   ,319320,1.33737358725951,103.855585578061,PRIMARY,GOVERNMENT-AIDED SCH,SOUTH,TOA PAYOH,Yes,No,No
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7 PEI WAH AVENUE   ,597610,1.33805634613048,103.776106448614,PRIMARY,GOVERNMENT-AIDED SCH,WEST,BUKIT TIMAH,Yes,No,No
PEI HWA SECONDARY SCHOOL,21 FERNVALE LINK   ,797702,1.39037504993234,103.878461745339,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,SENG KANG,No,No,No
PEI TONG PRIMARY SCHOOL,15 CLEMENTI AVENUE 5   ,129857,1.31619786415976,103.767599818844,PRIMARY,GOVERNMENT SCHOOL,WEST,CLEMENTI,No,No,No
PEICAI SECONDARY SCHOOL,10 SERANGOON AVENUE 4   ,556094,1.35951583222214,103.870010749055,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,SERANGOON,No,No,No
