school_name,address,postal_code,lat,lon,mainlevel_code,type_code,zone_code,dgp_code,sap_ind,autonomous_ind,gifted_ind
TEMASEK PRIMARY SCHOOL,501 BEDOK SOUTH AVE 3   ,469300,1.31770677551333,103.945590669163,PRIMARY,GOVERNMENT SCHOOL,EAST,BEDOK,No,No,No
TEMASEK SECONDARY SCHOOL,600 UPPER EAST COAST ROAD   ,465561,1.31591673150616,103.947564112022,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,BEDOK,No,Yes,No
TOWNSVILLE PRIMARY SCHOOL,3 ANG MO KIO AVE 10   ,569730,1.36003263746623,103.853826048327,PRIMARY,GOVERNMENT SCHOOL,SOUTH,ANG MO KIO,No,No,No
UNITY PRIMARY SCHOOL,21 CHOA CHU KANG CRESCENT   ,688268,1.40285481877246,103.746822625758,PRIMARY,GOVERNMENT SCHOOL,WEST,CHOA CHU KANG,No,No,No
UNITY SECONDARY SCHOOL,20 CHOA CHU KANG STREET 62   ,689143,1.40001524119441,103.74602091483,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,CHOA CHU KANG,No,No,No
VALOUR PRIMARY SCHOOL,49 Punggol Central   ,828728,1.40683570215319,103.899078139493,PRIMARY,GOVERNMENT SCHOOL,EAST,PUNGGOL,No,No,No
VICTORIA JUNIOR COLLEGE,20 MARINE VISTA   ,449035,1.30670174177479,103.919982704149,JUNIOR COLLEGE,GOVERNMENT SCHOOL,EAST,BEDOK,No,No,No
VICTORIA SCHOOL,2 SIGLAP LINK   ,448880,1.3087130270751,103.927980966639,SECONDARY (S1-S4),GOVERNMENT SCHOOL,EAST,BEDOK,No,Yes,No
WATERWAY PRIMARY SCHOOL,70 Punggol Drive   ,828802,1.39882800626578,103.918621581556,PRIMARY,GOVERNMENT SCHOOL,EAST,PUNGGOL,No,No,No
WELLINGTON PRIMARY SCHOOL,10 WELLINGTON CIRCLE   ,757702,1.45192019155475,103.822303719094,PRIMARY,GOVERNMENT SCHOOL,NORTH,SEMBAWANG,No,No,No
WEST GROVE PRIMARY SCHOOL,1 JURONG WEST ST 72   ,649223,1.3448790560014,103.699286360581,PRIMARY,GOVERNMENT SCHOOL,WEST,JURONG WEST,No,No,No
WEST SPRING PRIMARY SCHOOL,60 Bukit Panjang Ring Road   ,679946,1.38944145898943,103.766195711835,PRIMARY,GOVERNMENT SCHOOL,WEST,BUKIT PANJANG,No,No,No
WEST SPRING SECONDARY SCHOOL,61 SENJA  ROAD   ,677737,1.38782283303782,103.760128840155,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,BUKIT PANJANG,No,No,No
WEST VIEW PRIMARY SCHOOL,31 SENJA ROAD   ,677742,1.3836758200336,103.760240434318,PRIMARY,GOVERNMENT SCHOOL,WEST,BUKIT PANJANG,No,No,No
WESTWOOD PRIMARY SCHOOL,1 Jurong West Street 73   ,649188,1.34718456606375,103.70053420978,PRIMARY,GOVERNMENT SCHOOL,WEST,JURONG WEST,No,No,No
WESTWOOD SECONDARY SCHOOL,11 JURONG WEST STREET 25   ,648350,1.35373698510994,103.701772102139,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,JURONG WEST,No,No,No
WHITE SANDS PRIMARY SCHOOL,2 PASIR RIS ST 11   ,519075,1.36555714668553,103.960918869319,PRIMARY,GOVERNMENT SCHOOL,EAST,PASIR RIS,No,No,No
WHITLEY SECONDARY SCHOOL,30 BISHAN STREET 24   ,579747,1.35505208480649,103.842552378136,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,BISHAN,No,No,No
WOODGROVE PRIMARY SCHOOL,2 WOODLANDS DRIVE 14   ,738079,1.43310340168966,103.790604437613,PRIMARY,GOVERNMENT SCHOOL,NORTH,WOODLANDS,No,No,No
WOODGROVE SECONDARY SCHOOL,3 WOODLANDS AVENUE 6   ,738990,1.42831828137013,103.79604758539,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,WOODLANDS,No,No,No
WOODLANDS PRIMARY SCHOOL,10 WOODLANDS DRIVE 50   ,738853,1.43655108594232,103.791570546509,PRIMARY,GOVERNMENT SCHOOL,NORTH,WOODLANDS,No,No,No
WOODLANDS RING PRIMARY SCHOOL,11 WOODLANDS RING ROAD   ,738240,1.43495229315857,103.797435733144,PRIMARY,GOVERNMENT SCHOOL,NORTH,WOODLANDS,No,No,No
WOODLANDS RING SECONDARY SCHOOL,21 WOODLANDS AVENUE 1   ,739062,1.43070452883799,103.777625748539,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,WOODLANDS,No,No,No
WOODLANDS SECONDARY SCHOOL,11 MARSILING ROAD   ,739111,1.43912528141356,103.774586410437,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,WOODLANDS,No,No,No
