quarter,market_segment,completion_status,launch_status,pre_requisites_status,units
2018-Q1,Outside Central Region,Uncompleted,na,Without Pre-Requisites,4444
2018-Q1,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,2170
2018-Q1,Rest of Central Region,Completed,na,na,121
2018-Q1,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,416
2018-Q1,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,10568
2018-Q1,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,1115
2018-Q2,Core Central Region,Completed,na,na,1171
2018-Q2,Core Central Region,Uncompleted,Launched,With Pre-Requisites,196
2018-Q2,Core Central Region,Uncompleted,na,Without Pre-Requisites,3378
2018-Q2,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,708
2018-Q2,Outside Central Region,Completed,na,na,146
2018-Q2,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,765
2018-Q2,Outside Central Region,Uncompleted,na,Without Pre-Requisites,3793
2018-Q2,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,4215
2018-Q2,Rest of Central Region,Completed,na,na,194
2018-Q2,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,303
2018-Q2,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,10135
2018-Q2,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,3450
2018-Q3,Core Central Region,Completed,na,na,1090
2018-Q3,Core Central Region,Uncompleted,Launched,With Pre-Requisites,177
2018-Q3,Core Central Region,Uncompleted,na,Without Pre-Requisites,5595
2018-Q3,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,791
2018-Q3,Outside Central Region,Completed,na,na,138
2018-Q3,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,1096
2018-Q3,Outside Central Region,Uncompleted,na,Without Pre-Requisites,4769
2018-Q3,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,3772
2018-Q3,Rest of Central Region,Completed,na,na,217
2018-Q3,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,899
2018-Q3,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,7896
2018-Q3,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,5472
2018-Q4,Core Central Region,Completed,na,na,637
2018-Q4,Core Central Region,Uncompleted,Launched,With Pre-Requisites,302
2018-Q4,Core Central Region,Uncompleted,na,Without Pre-Requisites,5433
2018-Q4,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,1696
2018-Q4,Outside Central Region,Completed,na,na,163
2018-Q4,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,1042
2018-Q4,Outside Central Region,Uncompleted,na,Without Pre-Requisites,4863
2018-Q4,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,6780
2018-Q4,Rest of Central Region,Completed,na,na,262
2018-Q4,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,851
2018-Q4,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,9119
2018-Q4,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,4738
2019-Q1,Core Central Region,Completed,na,na,627
2019-Q1,Core Central Region,Uncompleted,Launched,With Pre-Requisites,490
2019-Q1,Core Central Region,Uncompleted,na,Without Pre-Requisites,6083
2019-Q1,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,1644
2019-Q1,Outside Central Region,Completed,na,na,109
2019-Q1,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,1783
2019-Q1,Outside Central Region,Uncompleted,na,Without Pre-Requisites,5493
2019-Q1,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,5549
2019-Q1,Rest of Central Region,Completed,na,na,224
2019-Q1,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,1218
2019-Q1,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,9343
2019-Q1,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,5236
2019-Q2,Core Central Region,Completed,na,na,591
2019-Q2,Core Central Region,Uncompleted,Launched,With Pre-Requisites,592
2019-Q2,Core Central Region,Uncompleted,na,Without Pre-Requisites,5002
2019-Q2,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,2179
2019-Q2,Outside Central Region,Completed,na,na,106
2019-Q2,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,1655
2019-Q2,Outside Central Region,Uncompleted,na,Without Pre-Requisites,2864
2019-Q2,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,7349
2019-Q2,Rest of Central Region,Completed,na,na,116
2019-Q2,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,1551
2019-Q2,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,5794
2019-Q2,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,6687
2019-Q3,Core Central Region,Completed,na,na,525
2019-Q3,Core Central Region,Uncompleted,Launched,With Pre-Requisites,825
2019-Q3,Core Central Region,Uncompleted,na,Without Pre-Requisites,5291
2019-Q3,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,2276
2019-Q3,Outside Central Region,Completed,na,na,107
2019-Q3,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,1657
2019-Q3,Outside Central Region,Uncompleted,na,Without Pre-Requisites,2177
2019-Q3,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,6597
2019-Q3,Rest of Central Region,Completed,na,na,97
2019-Q3,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,1895
2019-Q3,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,5891
2019-Q3,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,5339
2019-Q4,Core Central Region,Completed,na,na,117
2019-Q4,Core Central Region,Uncompleted,Launched,With Pre-Requisites,969
2019-Q4,Core Central Region,Uncompleted,na,Without Pre-Requisites,2589
2019-Q4,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,4157
2019-Q4,Outside Central Region,Completed,na,na,109
2019-Q4,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,1853
2019-Q4,Outside Central Region,Uncompleted,na,Without Pre-Requisites,2395
2019-Q4,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,5870
2019-Q4,Rest of Central Region,Completed,na,na,85
2019-Q4,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,1567
2019-Q4,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,5652
2019-Q4,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,5110
2020-Q1,Core Central Region,Completed,na,na,101
2020-Q1,Core Central Region,Uncompleted,Launched,With Pre-Requisites,1308
2020-Q1,Core Central Region,Uncompleted,na,Without Pre-Requisites,2874
2020-Q1,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,3779
2020-Q1,Outside Central Region,Completed,na,na,56
2020-Q1,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,1737
2020-Q1,Outside Central Region,Uncompleted,na,Without Pre-Requisites,2293
2020-Q1,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,5392
2020-Q1,Rest of Central Region,Completed,na,na,90
2020-Q1,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,1461
2020-Q1,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,4619
2020-Q1,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,5686
2020-Q2,Core Central Region,Completed,na,na,58
2020-Q2,Core Central Region,Uncompleted,Launched,With Pre-Requisites,1527
2020-Q2,Core Central Region,Uncompleted,na,Without Pre-Requisites,2502
2020-Q2,Core Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,3408
2020-Q2,Outside Central Region,Completed,na,na,30
2020-Q2,Outside Central Region,Uncompleted,Launched,With Pre-Requisites,1778
2020-Q2,Outside Central Region,Uncompleted,na,Without Pre-Requisites,1598
2020-Q2,Outside Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,5269
2020-Q2,Rest of Central Region,Completed,na,na,78
2020-Q2,Rest of Central Region,Uncompleted,Launched,With Pre-Requisites,1584
2020-Q2,Rest of Central Region,Uncompleted,na,Without Pre-Requisites,4813
2020-Q2,Rest of Central Region,Uncompleted,Not Launch Yet,With Pre-Requisites,5498
2020-Q3,Core Central Region,Completed,na,na,33
